key,name,tilt_deg,vinf_mps,family,score,classification,front_collective_rpm,rear_collective_rpm,delta_f_deg,delta_a_deg,delta_e_deg,delta_r_deg,theta_deg,u_mps,w_mps,alpha_deg,linearization_available,linearization_latest_file
tilt_27p5__vinf_7p5__family_front_rear_free_flap_elevator__source_transition_trim_lowmid_guidegrid_scored__seed_guide_v7p5_t27p5_f75_r75,MidbandGuide_Tilt27p5_V7p5,27.5,7.5,front_rear_free_flap_elevator,3.22458177738553e-12,exact_trim,1950.17441048946,1680.47841150962,21.1332529806837,0,-24.9999999999995,0,15.0272688666736,7.24351902569487,1.94459047729852,15.0272688666761,1,
tilt_30__vinf_2p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_history_2,LowSpeedScored_Tilt30_V2p5,30,2.5,front_rear_free_flap_elevator,6.34308584977331e-13,exact_trim,1988.57710701254,1679.33139320211,23.1189421935941,0,-24.0219103868556,0,17.4659640521156,2.38473853385291,0.750348002700364,17.4659640522011,1,
tilt_30__vinf_5__family_front_rear_free_flap_elevator__source_transition_trim_lowmid_guidegrid_scored__seed_lowspeedscored_tilt30_v7p5,MidbandGuide_Tilt30_V5,30,5,front_rear_free_flap_elevator,2.56062856667924e-13,exact_trim,1981.08700162113,1671.19595407904,24.9999425028352,0,17.7587109571252,0,17.0967614387064,4.77904816738373,1.46993149970549,17.0967614387068,1,
tilt_30__vinf_7p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_entry_lowspeedscored_tilt30_v5,LowSpeedScored_Tilt30_V7p5,30,7.5,front_rear_free_flap_elevator,2.91658889565469e-11,exact_trim,1980.541500427,1656.15201678833,-24.6829427086716,0,-15.1470471734602,0,17.5582521229079,7.15058049681802,2.26256459766639,17.5582521228922,1,
tilt_30__vinf_10__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_history_9,LowSpeedScored_Tilt30_V10,30,10,front_rear_free_flap_elevator,2.81682249925616e-11,exact_trim,1949.38638946082,1652.39143039157,24.7920739891015,0,-17.8930190360686,0,15.8449793806502,9.62003946632051,2.73035541028061,15.8449793806503,1,
tilt_30__vinf_12p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_history_9,LowSpeedScored_Tilt30_V12p5,30,12.5,front_rear_free_flap_elevator,2.47962704602384e-11,exact_trim,1941.31765237667,1616.62279391961,7.97310061927942,0,22.8035993635857,0,15.7702569858712,12.0294901029247,3.39725887501063,15.7702569858691,1,
tilt_30__vinf_20__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_history_8,LowSpeedScored_Tilt30_V20,30,20,front_rear_free_flap_elevator,2.7834393348659e-08,exact_trim,1849.21256708456,1519.14413537716,20.6723122636174,0,-0.40692627183132,0,12.2058492329208,19.5478863096152,4.22849156344175,12.2058492328916,1,
tilt_30__vinf_42p5__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_30__V_42p5__rear_800,30,42.5,low_speed_force_balance_rear_fixed,NaN,exact_trim,1083.45599027498,800,16.4973060621783,NaN,-6.26610193441282,NaN,-0.0342211172274978,42.499992419627,-0.0253840231861239,-0.0342211172256983,1,
tilt_30__vinf_45__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_30__V_45__rear_800,30,45,low_speed_force_balance_rear_fixed,NaN,exact_trim,1044.55581073254,800,13.5754773538463,NaN,-6.32983762977764,NaN,-0.0271890002223864,44.9999949336302,-0.0213541900189291,-0.0271890001981302,1,
tilt_30__vinf_45__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_30__V_45__rear_800,30,45,low_speed_force_balance_rear_fixed,NaN,exact_trim,1044.55581073254,800,13.5754773538463,NaN,-6.32983762977764,NaN,-0.0271890002223864,44.9999949336302,-0.0213541900189291,-0.0271890001981302,1,
tilt_30__vinf_47p5__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_30__V_47p5__rear_750,30,47.5,low_speed_force_balance_rear_fixed,NaN,exact_trim,1020.03560785134,750,11.1810612042488,NaN,-5.54538503088922,NaN,-0.0051308800021893,47.4999998095409,-0.00425366059853045,-0.00513088000216056,1,
tilt_30__vinf_47p5__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_30__V_47p5__rear_750,30,47.5,low_speed_force_balance_rear_fixed,NaN,exact_trim,1020.03560785134,750,11.1810612042488,NaN,-5.54538503088922,NaN,-0.0051308800021893,47.4999998095409,-0.00425366059853045,-0.00513088000216056,1,
tilt_30__vinf_50__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_30__V_50__rear_900,30,50,low_speed_force_balance_rear_fixed,NaN,exact_trim,992.598645417888,900,9.08722173321262,NaN,-6.86316592946083,NaN,-0.0382639347449393,49.9999888500227,-0.0333915798212698,-0.0382639347449393,1,
tilt_30__vinf_50__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_30__V_50__rear_900,30,50,low_speed_force_balance_rear_fixed,NaN,exact_trim,992.598645417888,900,9.08722173321262,NaN,-6.86316592946083,NaN,-0.0382639347449393,49.9999888500227,-0.0333915798212698,-0.0382639347449393,1,
tilt_30__vinf_52p5__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_30__V_52p5__rear_700,30,52.5,low_speed_force_balance_rear_fixed,NaN,exact_trim,989.971995686412,700,7.36937384635661,NaN,-4.82203219270185,NaN,0.121782664496426,52.4998814081557,0.111589110511328,0.121782664496426,1,
tilt_30__vinf_52p5__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_30__V_52p5__rear_700,30,52.5,low_speed_force_balance_rear_fixed,NaN,exact_trim,989.971995686412,700,7.36937384635661,NaN,-4.82203219270185,NaN,0.121782664496426,52.4998814081557,0.111589110511328,0.121782664496426,1,
tilt_30__vinf_55__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_30__V_55__rear_500,30,55,cruise_flap_elevator_rear_fixed,NaN,exact_trim,989.460250106855,500,6.22735511027407,NaN,-2.90546499617087,NaN,0.00800478957248552,55.0000000000501,0.00768404616911207,0.00800478931288925,1,
tilt_30__vinf_55__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_30__V_55__rear_500,30,55,cruise_flap_elevator_rear_fixed,NaN,exact_trim,989.460250106855,500,6.22735511027407,NaN,-2.90546499617087,NaN,0.00800478957248552,55.0000000000501,0.00768404616911207,0.00800478931288925,1,
tilt_30__vinf_55__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_30__V_55__rear_700,30,55,low_speed_force_balance_rear_fixed,NaN,exact_trim,982.386952577327,700,5.99868543589056,NaN,-4.34367321154375,NaN,0.00196588850729111,55.0000000000794,0.00188711749188745,0.00196588850341597,1,
tilt_30__vinf_55__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_30__V_55__rear_700,30,55,low_speed_force_balance_rear_fixed,NaN,exact_trim,982.386952577327,700,5.99868543589056,NaN,-4.34367321154375,NaN,0.00196588850729111,55.0000000000794,0.00188711749188745,0.00196588850341597,1,
tilt_30__vinf_60__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_30__V_60__rear_600,30,60,cruise_flap_elevator_rear_fixed,NaN,exact_trim,986.910868885834,600,3.45364880114513,NaN,-2.91775444346911,NaN,-0.0526980475418704,59.999974621555,-0.0551852585580425,-0.0526980475418704,1,
tilt_30__vinf_60__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_30__V_60__rear_500,30,60,cruise_flap_elevator_rear_fixed,NaN,exact_trim,989.50140317096,500,3.52575178503123,NaN,-2.30661622591327,NaN,-0.038125913237032,59.9999867163804,-0.0399253600324242,-0.0381259132369146,1,
tilt_30__vinf_60__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_30__V_60__rear_600,30,60,cruise_flap_elevator_rear_fixed,NaN,exact_trim,986.910868885834,600,3.45364880114513,NaN,-2.91775444346911,NaN,-0.0526980475418704,59.999974621555,-0.0551852585580425,-0.0526980475418704,1,
tilt_30__vinf_65__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_30__V_65__rear_600,30,65,cruise_flap_elevator_rear_fixed,NaN,exact_trim,1001.83304114147,600,1.23278588987916,NaN,-2.48090850379083,NaN,-0.0449630645594871,64.999979985253,-0.0510089734596037,-0.0449630645616188,1,
tilt_30__vinf_65__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_30__V_65__rear_200,30,65,cruise_flap_elevator_rear_fixed,NaN,exact_trim,1006.27777340784,200,1.51462260872208,NaN,0.839782766869803,NaN,-0.116399972105999,64.9998658645094,-0.132051488726247,-0.116399972105998,1,
tilt_30__vinf_65__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_30__V_65__rear_600,30,65,cruise_flap_elevator_rear_fixed,NaN,exact_trim,1001.83304114147,600,1.23278588987916,NaN,-2.48090850379083,NaN,-0.0449630645594871,64.999979985253,-0.0510089734596037,-0.0449630645616188,1,
tilt_30__vinf_70__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_30__V_70__rear_700,30,70,cruise_flap_elevator_rear_fixed,NaN,exact_trim,1026.05432623922,700,-1.20490174130287,NaN,-3.36393275867912,NaN,-0.00654301268093047,69.9999995435545,-0.00799379798252945,-0.00654301268106697,1,
tilt_30__vinf_70__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_30__V_70__rear_700,30,70,cruise_flap_elevator_rear_fixed,NaN,exact_trim,1026.05432623922,700,-1.20490174130287,NaN,-3.36393275867912,NaN,-0.00654301268093047,69.9999995435545,-0.00799379798252945,-0.00654301268106697,1,
tilt_30__vinf_75__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_30__V_75__rear_100,30,75,cruise_flap_elevator_rear_fixed,NaN,exact_trim,1082.23859109721,100,-2.65388298282863,NaN,-1.12697256582515,NaN,0.0592601216041758,74.9999598846155,0.0775713039541202,0.0592601216041531,1,
tilt_32p5__vinf_5__family_front_rear_free_flap_elevator__source_transition_trim_lowmid_guidegrid_scored__seed_lowspeedscored_tilt30_v2p5,MidbandGuide_Tilt32p5_V5,32.5,5,front_rear_free_flap_elevator,2.43821297930005e-12,exact_trim,2003.44358712173,1651.81650642845,-16.1430566160493,0,12.1902069868006,0,19.2974504172422,4.71907829040539,1.65236197276038,19.2974504172422,1,
