source_file,source_kind,source_run_prefix,name,key,tilt_deg,vinf_mps,alpha_target_deg,trim_formulation,family,seed_name,phase,rear_fixed_rpm,success,acceptable,classification,score,max_normalized,worst_component,worst_component_normalized,front_collective_rpm,rear_collective_rpm,delta_f_deg,delta_a_deg,delta_e_deg,delta_r_deg,theta_deg,u_mps,w_mps,alpha_deg,gamma_deg,termination_string,max_state_residual,attempt_count,rear_on_ok,linearization_available,linearization_index_source,linearization_latest_file
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt75_V60_Am10,tilt_75_v_60_a_m10,75,60,-10,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V60_T75_Am10_G14p05,,NaN,0,0,not_usable,12.0650264606874,21.9928050526231,q_dot,21.9928050526231,985.263683876994,1890.64042662136,22.4087926061919,0,-20.4884700871468,0,-9.63600882867919,59.0884651807325,-10.4188906600158,-10,0.363991171320807,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V65_A0,tilt_90_v_65_a_0,90,65,0,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V65_T90_A0_G13p87,,NaN,0,0,not_usable,4.39330998194403,8.33369024199784,q_dot,8.33369024199784,1602.75745788737,1017.63698376571,3.39120804607022,0,-9.64952756142798,0,16.9068717329067,65,8.0635049266296e-20,7.1077661596742e-20,16.9068717329067,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V65_Am2p5,tilt_90_v_65_a_m2p5,90,65,-2.5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,BridgeFrontier_Tilt90_V60_Am5,,NaN,0,0,not_usable,9.24819960430828,17.1838165528663,q_dot,17.1838165528663,1139.01472493047,1519.47293412883,13.8273921348452,0,-24.3821334049941,0,-2.32377095799607,64.7526553759635,-5.66512327859778,-5,2.67622904200393,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V65_Am5,tilt_90_v_65_a_m5,90,65,-5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V65_T90_Am5_G9p839,,NaN,0,0,not_usable,4.16289276642789,7.8663263860348,q_dot,7.8663263860348,850.164185109175,1646.2740429219,10.8880409826908,0,-8.78019009946223,0,-2.64883941127064,64.7526553759635,-5.66512327859778,-5,2.35116058872936,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V65_Am7p5,tilt_90_v_65_a_m7p5,90,65,-7.5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V65_T90_Am7p5_G8p362,,NaN,1,1,exact_trim,3.39807165817382e-12,6.40994371315278e-12,q_dot,6.40994371315278e-12,803.292307888403,1793.06345740148,14.5377192272044,0,-10.2040474266031,0,-5.19778744275053,64.4439159892977,-8.48420249430335,-7.5,2.30221255724947,Operating point specifications were successfully met.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V65_Am10,tilt_90_v_65_a_m10,90,65,-10,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V65_T90_Am10_G9p41,,NaN,1,1,exact_trim,2.28964365737758e-09,3.55109364136297e-09,w_dot,3.55109364136297e-09,661.63232847871,1250.67191884807,20.060290207792,0,6.42637033916395,0,-11.9097596843037,64.0125039457935,-11.2871315483505,-10,-1.90975968430371,Operating point specifications were successfully met.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V55_A0,tilt_90_v_55_a_0,90,55,0,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,BridgeFrontier_Tilt90_V60_Am5,,NaN,0,0,not_usable,8.50834366355291,15.809111282035,q_dot,15.809111282035,1139.01472493047,1519.47293412883,13.8273921348452,0,-24.3821334049941,0,-2.32377095799607,54.790708395046,-4.7935658511212,-5,2.67622904200393,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V55_Am2p5,tilt_90_v_55_a_m2p5,90,55,-2.5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,BridgeFrontier_Tilt90_V60_Am5,,NaN,0,0,not_usable,8.50834366355291,15.809111282035,q_dot,15.809111282035,1139.01472493047,1519.47293412883,13.8273921348452,0,-24.3821334049941,0,-2.32377095799607,54.790708395046,-4.7935658511212,-5,2.67622904200393,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V55_Am5,tilt_90_v_55_a_m5,90,55,-5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,entry_BridgeFrontier_Tilt90_V65_Am7p5,,NaN,0,0,not_usable,1.63564958623516,3.10327823356124,q_dot,3.10327823356124,1191.33446499537,1382.5160244168,17.2484013767871,0,-16.1934815215651,0,1.01972656265088,54.7907085424278,-4.79356441117956,-4.9999984922799,6.01972505493079,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V55_Am7p5,tilt_90_v_55_a_m7p5,90,55,-7.5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,entry_BridgeFrontier_Tilt90_V65_Am7p5,,NaN,1,1,exact_trim,2.03443558422916e-10,3.82112034515032e-10,q_dot,3.82112034515032e-10,906.530010904309,1469.61817993453,21.0026203153002,0,-14.1653359206898,0,-6.54960107521644,54.5294673755596,-7.17894057210284,-7.5,0.950398924783559,Operating point specifications were successfully met.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V55_Am10,tilt_90_v_55_a_m10,90,55,-10,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,BridgeFrontier_Tilt90_V60_Am5,,NaN,0,0,not_usable,8.50834366355291,15.809111282035,q_dot,15.809111282035,1139.01472493047,1519.47293412883,13.8273921348452,0,-24.3821334049941,0,-2.32377095799607,54.790708395046,-4.7935658511212,-5,2.67622904200393,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
